iter	Passed	Remaining
0	185	185619
1	190	94825
2	192	64127
3	195	48603
4	196	39161
5	198	32848
6	200	28455
7	202	25086
8	203	22446
9	205	20305
10	206	18538
11	207	17090
12	209	15895
13	211	14895
14	213	14008
15	215	13241
16	216	12547
17	218	11939
18	220	11387
19	222	10910
20	224	10454
21	226	10052
22	228	9687
23	229	9328
24	231	9021
25	233	8743
26	234	8462
27	236	8198
28	237	7959
29	239	7758
30	241	7545
31	242	7341
32	244	7174
33	246	7003
34	247	6828
35	248	6666
36	250	6521
37	252	6400
38	254	6271
39	256	6149
40	257	6034
41	259	5910
42	260	5799
43	263	5726
44	265	5627
45	266	5527
46	268	5446
47	270	5358
48	271	5267
49	272	5181
50	274	5115
51	276	5036
52	277	4959
53	279	4893
54	281	4842
55	283	4771
56	284	4706
57	286	4649
58	288	4598
59	289	4541
60	291	4486
61	294	4448
62	295	4390
63	296	4339
64	298	4299
65	300	4257
66	302	4206
67	304	4169
68	306	4129
69	307	4081
70	308	4036
71	310	4006
72	312	3965
73	313	3921
74	314	3880
75	315	3839
76	317	3808
77	319	3774
78	320	3736
79	321	3700
80	323	3672
81	325	3638
82	325	3596
83	326	3561
84	327	3530
85	329	3503
86	331	3474
87	332	3443
88	333	3414
89	336	3403
90	337	3373
91	338	3344
92	340	3321
93	342	3298
94	343	3275
95	345	3249
96	346	3224
97	348	3204
98	349	3180
99	350	3157
100	352	3135
101	354	3116
102	355	3094
103	356	3070
104	357	3046
105	358	3026
106	360	3011
107	362	2994
108	363	2972
109	365	2954
110	367	2940
111	368	2920
112	369	2900
113	370	2881
114	372	2866
115	374	2850
116	374	2829
117	376	2812
118	377	2795
119	379	2782
120	380	2764
121	381	2744
122	382	2728
123	384	2713
124	385	2699
125	386	2684
126	387	2665
127	389	2651
128	390	2637
129	392	2628
130	394	2613
131	395	2598
132	396	2585
133	398	2573
134	399	2559
135	400	2544
136	401	2530
137	403	2520
138	405	2513
139	407	2501
140	408	2488
141	409	2476
142	411	2465
143	412	2452
144	413	2438
145	415	2433
146	418	2427
147	419	2415
148	422	2415
149	424	2404
150	425	2394
151	429	2395
152	430	2383
153	432	2373
154	433	2365
155	435	2358
156	437	2347
157	438	2337
158	440	2331
159	442	2321
160	442	2307
161	443	2296
162	445	2285
163	448	2286
164	450	2278
165	451	2269
166	453	2261
167	455	2253
168	456	2242
169	457	2235
170	459	2228
171	461	2219
172	462	2209
173	463	2200
174	465	2193
175	466	2185
176	468	2176
177	469	2168
178	471	2161
179	473	2155
